"date","currency_code","name","local_price","dollar_ex","dollar_price"
"2018-01-01",ARS,Argentina,75.0,18.9375,3.96039603960396
"2018-01-01",AUD,Australia,5.9,1.253682693,4.70613499966375
"2018-01-01",BRL,Brazil,16.5,3.2279,5.11168251804579
"2018-01-01",GBP,Britain,3.19,0.72285673,4.4130459987555195
"2018-01-01",CAD,Canada,6.55,1.2459,5.257243759531259
"2018-01-01",CLP,Chile,2600.0,605.935,4.29088928680469
"2018-01-01",CNY,China,20.4,6.432,3.17164179104478
"2018-01-01",COP,Colombia,10900.0,2844.12,3.83246839092584
"2018-01-01",CRC,Costa Rica,2290.0,568.53,4.02793168346437
"2018-01-01",CZK,Czech Republic,79.0,20.747,3.80777943799104
"2018-01-01",DKK,Denmark,30.0,6.0827,4.93202031992372
"2018-01-01",EGP,Egypt,34.21,17.7,1.9327683615819198
"2018-01-01",EUR,Euro area,3.95,0.816826629,4.8357874973246
"2018-01-01",HKD,Hong Kong,20.5,7.819,2.62181864688579
"2018-01-01",HUF,Hungary,864.0,252.14215,3.4266385053034596
"2018-01-01",INR,India,180.0,63.86125,2.8186106598289298
"2018-01-01",IDR,Indonesia,35750.0,13359.0,2.6760985103675403
"2018-01-01",ILS,Israel,16.5,3.43635,4.80160635558078
"2018-01-01",JPY,Japan,380.0,110.725,3.4319259426507096
"2018-01-01",MYR,Malaysia,9.0,3.9539999999999997,2.27617602427921
"2018-01-01",MXN,Mexico,48.0,18.6635,2.57186486993329
"2018-01-01",NZD,New Zealand,6.2,1.374664925,4.51019000139252
"2018-01-01",NOK,Norway,49.0,7.8501,6.24195870116304
"2018-01-01",PKR,Pakistan,375.0,110.505,3.3935116058096897
"2018-01-01",PEN,Peru,10.5,3.2119999999999997,3.26899128268991
"2018-01-01",PHP,Philippines,134.0,50.725,2.6416954164613102
"2018-01-01",PLN,Poland,10.1,3.40575,2.96557292813624
"2018-01-01",RUB,Russia,130.0,56.745,2.2909507445589905
"2018-01-01",SAR,Saudi Arabia,12.0,3.7503,3.1997440204783603
"2018-01-01",SGD,Singapore,5.8,1.32255,4.38546746814865
"2018-01-01",ZAR,South Africa,30.0,12.25815,2.4473513539971403
"2018-01-01",KRW,South Korea,4400.0,1069.25,4.1150339022679505
"2018-01-01",LKR,Sri Lanka,580.0,153.8,3.7711313394018195
"2018-01-01",SEK,Sweden,49.1,8.0188,6.12311068987879
"2018-01-01",CHF,Switzerland,6.5,0.96085,6.76484362803768
"2018-01-01",TWD,Taiwan,69.0,29.553,2.3347883463607797
"2018-01-01",THB,Thailand,119.0,31.95,3.7245696400626005
"2018-01-01",TRY,Turkey,10.75,3.8026,2.8270130963025295
"2018-01-01",AED,UAE,14.0,3.673,3.81159814865233
"2018-01-01",UAH,Ukraine,47.0,28.715,1.6367752045969
"2018-01-01",USD,United States,5.28,1.0,5.28
"2018-01-01",UYU,Uruguay,140.0,28.58,4.898530440867741
"2018-01-01",VND,Vietnam,65000.0,22711.5,2.8619862184355895
"2018-07-01",ARS,Argentina,75.0,27.725,2.7051397655545495
"2018-07-01",AUD,Australia,6.05,1.33985395591881,4.51541749999998
"2018-07-01",AZN,Azerbaijan,3.95,1.70175,2.32114000293815
"2018-07-01",BHD,Bahrain,1.2,0.37955,3.1616387827690695
"2018-07-01",BRL,Brazil,16.9,3.83835,4.4029335521773705
"2018-07-01",GBP,Britain,3.19,0.7538635506973241,4.231535
"2018-07-01",CAD,Canada,6.65,1.31235,5.0672457804701505
"2018-07-01",CLP,Chile,2640.0,651.73,4.05075721541129
"2018-07-01",CNY,China,20.5,6.622000000000001,3.09574146783449
"2018-07-01",COP,Colombia,11900.0,2874.07,4.14046978674841
